"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","/abctemplate","abctemplate/{{abctemplate.id}}","0","0","1","0","0"
"","/abctemplate","abctemplate","0","0","2","0","0"
"","Auth","auth/credentials","0","0","2","0","0"
"","/account","account/reset","0","0","1","0","0"
"","/abctemplate","abctemplate/{{copyed_abctemplate.id}}/column/{{new_coulmn.id}}","0","0","1","0","0"
"","/abctemplate","abctemplate/{{copyed_abctemplate.id}}/column","0","0","1","0","0"
"","/account","account/delete","0","0","1","0","0"
"","/abctemplate","abctemplate/{{copyed_abctemplate.id}}/column/{{new_coulmn.id}}/option","0","0","1","0","0"
"","/abctemplate","abctemplate/{{copyed_abctemplate.id}}/column/{{new_coulmn.id}}/option/{{new_option.id}}","0","0","1","0","0"
"","/abctemplate","abctemplate/{{abctemplate.id}}/copy","0","0","1","0","0"
"","/abctemplate","abctemplate/{{copyed_abctemplate.id}}","0","0","1","0","0"
"","Auth","api/","0","0","2","0","0"
"","/abctemplate","abctemplate/{{copyed_abctemplate.id}}/share","0","0","1","0","0"
"","/account","account/reset/confirm","0","0","1","0","0"
"","/account","account/resetExpiredPassword","0","0","1","0","0"
"","/abctemplate","abctemplate/{{copyed_abctemplate.id}}/column/{{new_coulmn.id}}/option/{{new_option.id}}/function","0","0","1","0","0"
"","/abctemplate","abctemplate/{{copyed_abctemplate.id}}/column/{{new_coulmn.id}}/option/{{new_option.id}}/function/{{new_function.id}}","0","0","1","0","0"
"","/account","account/activate","0","0","1","0","0"
